,category,Fitness,GoodCust,MktCamp,Blood,Credit-G,Diabetes,Hazelnut,QSAR-Bio,Seismic,QSAR-Fish,Airfoil,Concrete,Insurance,Anneal,ELO
metric,,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,rmse,log_loss,
task_id,,363671,363682,363684,363621,363626,363629,363674,363696,363700,363698,363612,363625,363675,363614,
FASTAI,DL,0.7996067755595886,0.7098589033756028,0.899973086293841,0.7268421052631578,0.7634188034188035,0.8297858099062918,0.97748125,0.9323763840300069,0.7601176855181431,0.9453682137164233,2.3118411429582046,6.271214783661322,4263.604669891753,0.11476169357130345,1081.7
MNCA_GPU,DL,0.8032932546884453,0.7197416205274751,0.9308671879426597,0.745438596491228,0.7592307692307692,0.838219544846051,0.9785625000000001,0.9254156598261621,0.7930260433692928,0.9079065375057965,1.453374096711406,5.113994006479045,4101.408056328212,0.10373663359923335,1281.9
NN_TORCH,DL,0.7962983968542044,0.7284038816455319,0.9158805031446542,0.7416666666666667,0.7799572649572648,0.8070281124497993,0.97791875,0.9181303422656616,0.7826958701100577,0.9567096116016571,1.4743240449401513,4.489181374302094,4284.493211542226,0.057056382624834076,1181.3
REALMLP_GPU,DL,0.8027828191167574,0.7341787223909031,0.9311504901127543,0.7450000000000001,0.7896153846153846,0.8500669344042837,0.982125,0.9322321203159376,0.7865315462569467,0.902031865224557,1.1261888658361736,5.013467964220634,4169.775918222015,0.03160915622542364,1440.7
TABM_GPU,DL,0.8078115547489413,0.7321843186283266,0.9324961754207037,0.7017543859649122,0.7811965811965812,0.8207496653279786,0.957375,0.9301042305334151,0.7851367549308053,0.9275436468576879,1.0877995905350197,4.4997519026239905,4105.547952453262,0.046598555490574164,1296.2
XRFM_GPU,DL,0.7804087265577736,0.6859558254450199,0.9153988894554932,0.673859649122807,0.7677350427350428,0.817570281124498,0.9824937499999999,0.9311501424604177,0.7403944644219242,0.8957594416323091,1.5604451878710464,5.4829799128889,4588.086639568085,0.0351097915833094,1126.6
REALTABPFN-V2.5,Foundation,0.809229431336963,0.7340001190688813,0.9425179896878011,0.7444298245614036,0.7849145299145298,0.8486947791164658,0.9896999999999999,0.9366321635950517,0.7942464857796665,0.9021697485200404,0.9770421145051592,3.816273829391835,4075.862737431688,0.01724696349112164,1697.0
TABDPT_GPU,Foundation,0.8084448729582577,0.7339405846282073,0.9303926568077511,0.7282894736842105,0.7649572649572649,0.8443105756358769,0.9912,0.9305730876041405,0.7956303802985725,0.9032009771392325,0.9921872891198709,4.194899538096949,4094.6992019149893,0.0676078146117423,1457.9
TABPFNV2_GPU,Foundation,0.8100801572897762,0.7314996725605762,0.9414060286701796,0.7386842105263158,0.7721794871794871,0.8485943775100402,0.9822500000000001,0.9270025606809248,0.7840688678217282,0.9033054900056293,0.9686146785218831,3.9696752157329884,4321.7507912330075,0.018732650610432378,1490.9
MITRA_GPU,,0.8097965819721717,0.7279276061201404,0.9374822936143692,0.7220175438596491,0.7785470085470085,0.8392235609103079,0.98694375,0.9279763407508927,0.7964912280701755,0.9012402148282606,1.0591131919058265,4.329742394231109,4032.357647014834,0.02933883162895879,1515.7
TABICLV2,,0.8090214761040532,0.7412930880514377,0.9402657374355488,0.7451754385964913,0.7885897435897437,0.8451807228915663,0.99321875,0.9355141198110145,0.8024735752424539,0.894265712135384,1.015387772184129,3.6729471916148135,4042.4652260759326,0.033034431782149175,1767.8
TABICL_GPU,,0.8060533877797944,0.7343870929332619,0.9304280695790129,0.7026315789473685,0.7814102564102565,0.838219544846051,0.98995625,0.9387239874490569,0.7944426283099053,0.938418407690184,1.7727015604892042,5.50373270046845,4520.752203125408,0.042555178904666896,1307.6
FTTransformer,DL,0.7979242286751361,0.7176579151038877,0.932113717491076,0.7264912280701754,0.7690598290598291,0.828380187416332,0.9646000000000001,0.9031629819309699,0.7905415713196035,1.2398653728130447,6.214391184581335,12.285288531686305,5202.08276842444,0.04965282135798628,1085.2
LLMAdapter260421-3,LLM,,,,0.7333333333333333,0.7892307692307694,0.8366131191432395,,,,0.9608780512383875,1.1434596384500795,5.281522973414699,4085.360116429925,0.11682174275976431,1143.8
LLMAdapter260423-bidir,LLM,0.8057887174833636,0.7359945228314579,0.9283316335203127,0.7439473684210527,0.7861111111111111,0.843908969210174,0.9587749999999999,0.9124679914884408,0.7946169772256728,0.9903969756703856,1.568359753399226,4.981101921838656,4092.852966195559,0.14564955109676342,1293.3
LLMAdapter260429-LA-Bidir,LLM,,,,0.7218421052631578,0.7756837606837608,0.8396921017402945,,,,0.9515677481991512,1.1601502100043342,4.650674830784036,,,1097.9
LLMBaseline,LLM,,,,0.7060526315789474,0.7216239316239317,0.6860107095046855,,0.8670790204493815,,1.6545004849408724,,16.808829044894885,17800.341386653545,0.05973993730393637,825.7
LLMBaseline260429-LB-Bidir,LLM,,,,0.7063157894736842,0.7851709401709401,,,,,1.0360012755076657,2.4641715571337057,8.087770676050898,,,997.0
LLMBaselineBidirectional260426-BaselineBidir,LLM,,,,0.6975438596491228,0.7567948717948718,0.7977911646586346,,,,1.014977324860838,1.5983589478942004,4.798822721989176,4543.928949362836,,957.4
LLMSlot260424-next_token_pred,LLM,,,,0.7196491228070175,0.7777777777777778,0.8305890227576975,,,,0.9497885097258855,1.1229090443061462,4.504521063999555,4097.925095529851,0.15152618956564654,1099.2
