dataset,tid,metric,metric_error,metric_error_val,batch_size,lora_alpha,lora_dropout,lora_lr,lora_rank,lr,token_dim,num_epochs,weight_decay
wine_quality,363708,rmse,0.7709015011787415,0.8300432562828064,128,16,0.05,2.8120601211200753e-05,4,0.004624729673003227,16.0,,
anneal,363614,log_loss,0.19110255988866987,0.1917974363690588,128,16,0.05,2.8120601211200753e-05,4,0.004624729673003227,16.0,,
QSAR_fish_toxicity,363698,rmse,1.4950660675668714,1.432781990736781,512,16,0.1,1.4795816345422874e-05,4,0.0010836702671749576,64.0,,
website_phishing,363707,log_loss,0.48202761643178194,0.4967496174327474,512,16,0.1,1.4795816345422874e-05,4,0.0010836702671749576,64.0,,
concrete_compressive_strength,363625,rmse,16.14911598539273,16.159480187787175,512,16,0.1,1.4795816345422874e-05,4,0.0010836702671749576,64.0,,
airfoil_self_noise,363612,rmse,6.9394276314070815,6.906185886036755,512,16,0.1,1.4795816345422874e-05,4,0.0010836702671749576,64.0,,
Another-Dataset-on-used-Fiat-500,363615,rmse,1924.8464738515513,1985.2705216086708,512,16,0.1,1.4795816345422874e-05,4,0.0010836702671749576,64.0,,
healthcare_insurance_expenses,363675,rmse,10716.899144732257,11956.507791638443,512,16,0.1,1.4795816345422874e-05,4,0.0010836702671749576,64.0,,
maternal_health_risk,363685,log_loss,0.7538141742446164,0.7752728047773522,512,16,0.1,1.4795816345422874e-05,4,0.0010836702671749576,64.0,,
wine_quality,363708,rmse,0.8610518574714661,0.904505729675293,512,16,0.1,1.4795816345422874e-05,4,0.0010836702671749576,64.0,,
anneal,363614,log_loss,0.7648062959840937,0.7717700545715254,512,16,0.1,1.4795816345422874e-05,4,0.0010836702671749576,64.0,,
QSAR_fish_toxicity,363698,rmse,1.7429162275326768,1.7619045805527211,256,64,0.1,0.0006905424378423517,8,0.007636347301302402,32.0,,
website_phishing,363707,log_loss,0.23144574471489573,0.2487134788324523,256,64,0.1,0.0006905424378423517,8,0.007636347301302402,32.0,,
concrete_compressive_strength,363625,rmse,17.017713540030822,17.226968754575505,256,64,0.1,0.0006905424378423517,8,0.007636347301302402,32.0,,
airfoil_self_noise,363612,rmse,7.389163282214116,7.5238687556857675,256,64,0.1,0.0006905424378423517,8,0.007636347301302402,32.0,,
Another-Dataset-on-used-Fiat-500,363615,rmse,1771.356997120854,1922.494449673339,256,64,0.1,0.0006905424378423517,8,0.007636347301302402,32.0,,
healthcare_insurance_expenses,363675,rmse,11612.45048555128,13973.117294766924,256,64,0.1,0.0006905424378423517,8,0.007636347301302402,32.0,,
maternal_health_risk,363685,log_loss,0.8760301558157756,0.9024372721603241,256,64,0.1,0.0006905424378423517,8,0.007636347301302402,32.0,,
wine_quality,363708,rmse,0.8632754683494568,0.8989894986152649,256,64,0.1,0.0006905424378423517,8,0.007636347301302402,32.0,,
anneal,363614,log_loss,0.5045413799664105,0.5757201176850003,256,64,0.1,0.0006905424378423517,8,0.007636347301302402,32.0,,
QSAR_fish_toxicity,363698,rmse,1.8166029035333684,1.8839914870003664,256,32,0.1,0.0014517704896094845,8,0.0002437284478412161,16.0,,
website_phishing,363707,log_loss,0.23775450939679596,0.25444610491709996,256,32,0.1,0.0014517704896094845,8,0.0002437284478412161,16.0,,
concrete_compressive_strength,363625,rmse,18.816119304118637,19.938966808336872,256,32,0.1,0.0014517704896094845,8,0.0002437284478412161,16.0,,
airfoil_self_noise,363612,rmse,7.3481729536437355,7.679522754703803,256,32,0.1,0.0014517704896094845,8,0.0002437284478412161,16.0,,
Another-Dataset-on-used-Fiat-500,363615,rmse,2099.811093106891,2151.8305665670523,256,32,0.1,0.0014517704896094845,8,0.0002437284478412161,16.0,,
healthcare_insurance_expenses,363675,rmse,10105.779046439873,11362.530137493912,256,32,0.1,0.0014517704896094845,8,0.0002437284478412161,16.0,,
maternal_health_risk,363685,log_loss,0.9407704673316662,0.9822314386113561,256,32,0.1,0.0014517704896094845,8,0.0002437284478412161,16.0,,
wine_quality,363708,rmse,0.8722910284996033,0.9088988304138184,256,32,0.1,0.0014517704896094845,8,0.0002437284478412161,16.0,,
anneal,363614,log_loss,0.5221512532726423,0.5767144442203408,256,32,0.1,0.0014517704896094845,8,0.0002437284478412161,16.0,,
students_dropout_and_academic_success,363704,log_loss,0.5885984929311566,0.5713681434030287,256,32,0.1,0.0001,8,0.001,,200.0,1e-05
