dataset,tid,metric,metric_error,metric_error_val,batch_size,lora_alpha,lora_dropout,lora_lr,lora_rank,lr,num_buckets,token_dim,num_epochs,weight_decay
Another-Dataset-on-used-Fiat-500,363615,rmse,1302.5476556993895,1370.376731131904,128,16,0.0,5.752740814116689e-05,32,0.0019107079904972712,64.0,32.0,,
healthcare_insurance_expenses,363675,rmse,11507.76111811393,12339.823959286156,128,16,0.0,5.752740814116689e-05,32,0.0019107079904972712,64.0,32.0,,
wine_quality,363708,rmse,0.8665764331817627,0.9134600162506104,128,16,0.0,5.752740814116689e-05,32,0.0019107079904972712,64.0,32.0,,
QSAR_fish_toxicity,363698,rmse,1.4555782381785167,1.4380036519347634,256,32,0.1,0.0001,8,0.001,,,200.0,1e-05
concrete_compressive_strength,363625,rmse,15.870640078785344,16.59156315051687,256,32,0.1,0.0001,8,0.001,,,200.0,1e-05
houses,363678,rmse,0.4266490977901099,0.4464410754484024,256,32,0.1,0.0001,8,0.001,,,200.0,1e-05
airfoil_self_noise,363612,rmse,5.761499632345717,6.216767451788823,256,32,0.1,0.0001,8,0.001,,,200.0,1e-05
miami_housing,363686,rmse,165305.9227954853,182342.8101363034,256,32,0.1,0.0001,8,0.001,,,200.0,1e-05
Another-Dataset-on-used-Fiat-500,363615,rmse,1118.1978896207333,1241.853308672599,256,32,0.1,0.0001,8,0.001,,,200.0,1e-05
healthcare_insurance_expenses,363675,rmse,5558.933237566671,7591.78183073254,256,32,0.1,0.0001,8,0.001,,,200.0,1e-05
wine_quality,363708,rmse,0.8009641170501709,0.8616306185722351,256,32,0.1,0.0001,8,0.001,,,200.0,1e-05
QSAR_fish_toxicity,363698,rmse,1.5006714283143903,1.436301169949666,128,32,0.0,0.0011103525577197586,16,0.00451481421315483,128.0,32.0,,
concrete_compressive_strength,363625,rmse,16.800990631366236,16.45185113291947,128,32,0.0,0.0011103525577197586,16,0.00451481421315483,128.0,32.0,,
airfoil_self_noise,363612,rmse,6.929780520874644,6.879800611671669,128,32,0.0,0.0011103525577197586,16,0.00451481421315483,128.0,32.0,,
miami_housing,363686,rmse,322604.70520061656,315653.5711358368,128,32,0.0,0.0011103525577197586,16,0.00451481421315483,128.0,32.0,,
Another-Dataset-on-used-Fiat-500,363615,rmse,1905.2655905341053,1960.2237996477274,128,32,0.0,0.0011103525577197586,16,0.00451481421315483,128.0,32.0,,
