,category,Amazon,Fitness,GoodCust,MktCamp,Blood,Churn,Credit-G,Diabetes,Hazelnut,Polish,QSAR-Bio,Seismic,TaiwanBnk,Fiat500,QSAR-Fish,Airfoil,Concrete,Insurance,Houses,Wine,MIC,Anneal,Maternal,Splice,Students,Phishing
metric,,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,rmse,rmse,rmse,rmse,log_loss,log_loss,log_loss,log_loss,log_loss,log_loss
REALTABPFN-V2.5,Foundation,0.8393699822506823,0.809229431336963,0.7340001190688813,0.9425179896878011,0.7444298245614036,0.9393055111395374,0.7849145299145298,0.8486947791164658,0.9896999999999999,0.9819764737956251,0.9366321635950517,0.7942464857796665,0.9502770859277708,685.7440224082889,0.9021697485200404,0.9770421145051592,3.816273829391835,4075.862737431688,0.20203010927417311,0.6189418435096741,0.4600927243129557,0.01724696349112164,0.418697125047572,0.08156389935913216,0.5469248356830934,0.20898421158367678
TABDPT_GPU,Foundation,0.8434346128914413,0.8084448729582577,0.7339405846282073,0.9303926568077511,0.7282894736842105,0.9375066624027288,0.7649572649572649,0.8443105756358769,0.9912,0.9660638110205915,0.9305730876041405,0.7956303802985725,0.937640099626401,681.9869122034441,0.9032009771392325,0.9921872891198709,4.194899538096949,4094.6992019149893,0.20713520550772116,0.581257164478302,0.49164004979352904,0.0676078146117423,0.3466039316921292,0.20723909386990075,0.5816187088168174,0.2109085410496047
TABPFNV2_GPU,Foundation,0.8415401376894398,0.8100801572897762,0.7314996725605762,0.9414060286701796,0.7386842105263158,0.9425967380876239,0.7721794871794871,0.8485943775100402,0.9822500000000001,0.9645262685226763,0.9270025606809248,0.7840688678217282,0.9394582814445829,689.2675634977064,0.9033054900056293,0.9686146785218831,3.9696752157329884,4321.7507912330075,0.23437821466866735,0.6833905577659607,0.47743398301398166,0.018732650610432378,0.4251002550137872,0.08884796292317004,0.5517254559643091,0.21791295821483742
260331-engineeringLLMAdapterEngineered,,,0.8059588626739262,,,0.7248245614035088,,0.7938888888888892,0.8299196787148596,,,0.8921989396617017,,,,1.3936277509997737,,14.720635993964661,6313.34522518212,,,,0.2346300915880928,0.7193847194336024,,,0.2779101209730456
260401-2-engineeringLLMAdapterEngineered,,,,,,,,,,,,,,,1317.210977586544,1.48918497026507,6.158132469673948,15.738094555035646,5809.546042052768,,0.779291570186615,,0.21200211905965388,0.6955337485942736,,0.5885984929311566,0.2727801324984074
260401-2-engineeringLLMAdapterReg,,,,,,,,,,,,,,,1118.1978896207333,1.4555782381785167,5.761499632345717,15.870640078785344,5558.933237566671,0.4266490977901099,0.8009641170501709,,,,,,
260401-engineeringLLMAdapterEngineered,,,,,,0.732017543859649,,,0.8192101740294511,,,,,,,,,,,,0.7985573410987854,,0.23264876004764531,,,,
260402-mlp_ratio-tune_mlpLLMAdapterReg,,,,,,,,,,,,,,,1243.1220432186415,1.4372909743863753,5.62747566484155,14.70485044203201,5453.817376592303,,0.7856705784797668,,,,,,
LLMAdapterEngineered260331-engineering,,,0.8059588626739262,,,0.7248245614035088,,0.7938888888888892,0.8299196787148596,,,0.8921989396617017,,,,1.3936277509997737,,14.720635993964661,6313.34522518212,,,,0.2346300915880928,0.7193847194336024,,,0.2779101209730456
MITRA_GPU,,,0.8097965819721717,0.7279276061201404,0.9374822936143692,0.7220175438596491,0.9385904132466333,0.7785470085470085,0.8392235609103079,0.98694375,0.9804228943485791,0.9279763407508927,0.7964912280701755,0.9472540473225405,702.6015919021072,0.9012402148282606,1.0591131919058265,4.329742394231109,4032.357647014834,,0.5999043583869934,0.46282654730914324,0.02933883162895879,0.37773906038340466,0.08840871013739798,0.5529135745510066,0.21455161114694993
