method,APSFailure,Amazon_employee_access,Another-Dataset-on-used-Fiat-500,Bank_Customer_Churn,Bioresponse,Diabetes130US,E-CommereShippingData,Fitness_Club,Food_Delivery_Time,GiveMeSomeCredit,HR_Analytics_Job_Change_of_Data_Scientists,Is-this-a-good-customer,MIC,Marketing_Campaign,NATICUSdroid,QSAR-TID-11,QSAR_fish_toxicity,SDSS17,airfoil_self_noise,anneal,bank-marketing,blood-transfusion-service-center,churn,coil2000_insurance_policies,concrete_compressive_strength,credit-g,credit_card_clients_default,customer_satisfaction_in_airline,diabetes,diamonds,hazelnut-spread-contaminant-detection,healthcare_insurance_expenses,heloc,hiva_agnostic,houses,in_vehicle_coupon_recommendation,jm1,kddcup09_appetency,maternal_health_risk,miami_housing,online_shoppers_intention,physiochemical_protein,polish_companies_bankruptcy,qsar-biodeg,seismic-bumps,splice,students_dropout_and_academic_success,superconductivity,taiwanese_bankruptcy_prediction,website_phishing,wine_quality
REALMLP_GPU (default),0.011165017225867269,0.19866066653056758,757.7862372987148,0.1354957310109618,0.16714079615075184,0.3654193820406353,0.2501601816512875,0.1926791779730166,7.957243919372559,0.13668187261963682,0.20927881964702655,0.27550249357714973,0.5677586398042186,0.11622117863069814,0.015483882332217647,0.7576402684385212,0.8229569532316025,0.11829966650426979,1.3431143627327033,0.032958915024091526,0.24629013828118818,0.22258028545941133,0.08076212053097831,0.27328198582114127,4.784868424519744,0.20343347639484977,0.22119539026285162,0.005447489173758813,0.1709109870147345,537.5015990464366,0.020815625000000004,4745.500600034513,0.20202477791060225,0.2105534581406089,0.2291202189518248,0.18333290578557626,0.28305807253175674,0.23552760211014057,0.5496543067648993,87261.25246903581,0.06929327655938267,3.6350453050109883,0.04472545107736903,0.07357059722121184,0.23787654619755028,0.17361483315551557,0.5495273929139913,9.954560791145694,0.06684883546507936,0.24416192890912208,0.6599252223968506
REALTABPFN-V2.5 (default),0.010254141888481616,0.16036906521671912,748.1475887300456,0.13004629131230494,0.13650287765332014,0.348779804812956,0.25280204840813547,0.1768392189605117,7.534852504730225,0.1364062363441232,0.200075209774356,0.25615837993048207,0.428546773096884,0.09660146181278917,0.013945834067289109,0.7417218812570566,0.8481107019640903,0.07580051759111092,1.3055775717634166,0.020277538812672295,0.2414478340184143,0.2444692239072257,0.08365121119998342,0.22406493015040796,4.304977175665907,0.20862124463519305,0.2156909384284813,0.005302213040693449,0.17107918993473725,516.2311613666238,0.008760156249999929,4751.53531557976,0.19787568204470907,0.18197790321415638,0.200889618677327,0.16757725787970523,0.251233841694368,0.16877655831988148,0.4851342873269267,79381.09752735092,0.06303417933037159,3.011867035893617,0.016818087694776662,0.06226813122863173,0.24109131709356113,0.12094303802827237,0.5207968258328135,9.27103652532521,0.06146959806882524,0.23257510135492668,0.6395046710968018
RF (default),0.013151971648636351,0.163255856115036,764.3137369787336,0.15034500678665486,0.13813831817150402,0.38731530086820054,0.26388872892410276,0.21737129736807148,7.849062919616699,0.1633001984608119,0.21914084663641353,0.2551685053649688,0.5831561995106885,0.14228134599766962,0.023089043508895513,0.7725379173578526,0.8842998218357612,0.09218614320911295,1.9233489200596416,0.051113556859476716,0.28027561609448104,0.3089540588760036,0.0897331754700661,0.296590660330059,5.40654144404498,0.21456545064377686,0.23989525546326673,0.007651177732026282,0.18497275112695966,559.9886654242642,0.03955312499999997,5160.637140845996,0.21182109966973606,0.2950107592786828,0.2296048199462065,0.1977923714078863,0.2600832403463982,0.24801726207093344,0.515033272323651,95343.62240372118,0.07587683030816517,3.5658488599389706,0.09019655863109821,0.0720111660725975,0.25860618094017607,0.3251392139404064,0.5739910050857894,9.637435493065666,0.08260458081846067,0.31366150309648033,0.6263664364814758
TABDPT_GPU (default),0.012256808057755975,0.15290266378310868,739.9627015571941,0.13579642754482912,0.14687828764156197,0.38492589146877154,0.26094590076815316,0.18073872369494692,7.450657844543457,0.15747296211768902,0.20161446385648807,0.2556898896781019,0.4785510532989523,0.1105575368101408,0.016926986084199513,0.7399645728798938,0.8401966079174616,0.08442118026160195,1.3517103595012194,0.05333831988907928,0.24366404100452332,0.24130240856378238,0.08495610540637177,0.268396398252545,4.482453496147883,0.2101609442060085,0.22017606345506746,0.005516352523294077,0.168943012850703,522.9548314319638,0.007179687499999976,4728.94350396044,0.20359373117855906,0.17822957282973353,0.20533887129588121,0.1941717259817921,0.22746198733040845,0.23963613878470147,0.4115132790674141,83334.558028198,0.06824732152232393,2.9002090938714145,0.04232521374158282,0.06335018549501714,0.2384017996116975,0.21233327000176502,0.5441669538866659,9.066769901146724,0.07066927703111248,0.2354098868406385,0.5982013940811157
TABICLV2 (default),0.007687740010094202,0.15240270152082014,732.0022919680916,0.13182147601697158,0.1493256466984343,0.3440393197379864,0.25563519010580205,0.17724719634148656,7.606220722198486,0.13527179412827095,0.19851360399573004,0.2619011636693366,0.4313376708761315,0.08823487871190994,0.01243905231636433,0.7927092946407842,0.8397856475939607,0.07240698604437845,1.2626822635408084,0.029016237672445395,0.2504486153829366,0.24329839429081168,0.07500211424018655,0.22957526147644725,4.172371503790288,0.19466738197424893,0.2137693753360992,0.004864057576786873,0.1704063782547265,506.7474613292183,0.004997656250000038,4647.388671029094,0.1979529774906592,0.19986271732762537,0.19477850775793548,0.1657659945615927,0.2320717781244097,0.16842937508563038,0.415660522510274,79419.09143843401,0.06159989481611827,2.9518313034242083,0.0196648229339641,0.060567760238597446,0.23472777573054215,0.11861234850243194,0.5279501991998531,9.064642248605514,0.062680448401229,0.23742900470474215,0.6017375588417053
TABICL_GPU (default),0.00956555704285611,0.15157731151165366,764.3137369787336,0.13534812265477514,0.13813831817150402,0.35693096889864506,0.24834981400067635,0.18091899277026124,7.849062919616699,0.13583971506480585,0.2000922396383511,0.25562566117575947,0.4591827905207737,0.10179372197309422,0.013149286595032561,0.7725379173578526,0.8842998218357612,0.0774694740427843,1.9233489200596416,0.03207618784977717,0.24166264425842865,0.25260927743086525,0.090369302122697,0.24127217601490736,5.40654144404498,0.20623390557939913,0.21594497922337974,0.00556336730586704,0.1744600686267913,559.9886654242642,0.008559374999999925,5160.637140845996,0.19990288394049616,0.2950107592786828,0.2296048199462065,0.16217986649108707,0.22799921813079704,0.19179441272182807,0.43116813626522976,95343.62240372118,0.062140014501254504,3.5658488599389706,0.029914861759868683,0.06504601003855393,0.24037356242815577,0.1632260006848211,0.5430854315939985,9.637435493065666,0.06537818582763866,0.24645407269900166,0.6263664364814758
TABM_GPU (default),0.013100776809813253,0.18909501126657935,751.4633860156382,0.13264365733552486,0.14582817624853017,0.3496838447708128,0.24590239141987535,0.17788762595115648,7.781867980957031,0.13644060810960046,0.2019052979088145,0.270046849025238,0.4331982257483235,0.10885915045372696,0.01458904350889556,0.7339541205428746,0.8694536397254566,0.09647004111769233,1.3291611060462027,0.03658646750866923,0.2423046293514206,0.24129125780553062,0.07760522610500575,0.24163231752933778,4.198202263363064,0.2028218884120172,0.22044475417041665,0.005117892557223058,0.16142434232658287,525.2733725959478,0.03542812499999992,4660.537414333197,0.2007555248517432,0.17573133683479938,0.21444742105424308,0.1603074353405275,0.275771864587654,0.21362428289317137,0.5389101112106814,82789.88179084349,0.06233287801928433,3.4575344645427712,0.05934788408775038,0.06465956208627344,0.24488909177909657,0.12088852856117105,0.529575236455208,9.624787295507554,0.07423919783871735,0.25062465907134307,0.6555922031402588
TABPFNV2_GPU (default),0.013151971648636351,0.163255856115036,745.7782723887001,0.13020187662383065,0.13813831817150402,0.38731530086820054,0.25030662350838206,0.17636957058008673,7.849062919616699,0.1633001984608119,0.21914084663641353,0.25664953906604193,0.4454791078421934,0.1005119875710605,0.017318830368152294,0.7725379173578526,0.8471262571418495,0.09218614320911295,1.3421683044759725,0.0293272666999117,0.28027561609448104,0.2398862622658341,0.0868247969958501,0.2425848025265568,4.442926827937139,0.2256866952789699,0.23989525546326673,0.007651177732026282,0.16739554598667827,559.9886654242642,0.012612499999999915,4951.292520124048,0.19834188695044275,0.2950107592786828,0.2296048199462065,0.21672871809781147,0.27316104947683895,0.24801726207093344,0.48619516994356576,87449.78677851899,0.06417993232747854,3.5658488599389706,0.047061974108099314,0.06116789117625665,0.2398620591033842,0.12388623572626226,0.5264034320186959,9.637435493065666,0.06220492288754553,0.24256126317637122,0.7083072662353516
TFMLLM (default),,0.2605406229660765,,,,,,,,,0.20383620611309883,,,,,,,,5.791587155815091,0.04037844299524077,,,,,,,,,,,,,,,0.4902020535470783,,,,,,,,,,,,,,,,
XGB (default),0.01152749555638466,0.1714399462415256,771.6193078345294,0.13730705479155592,0.13928770344699548,0.3461778125063988,0.2610062708343398,0.19651226778496733,7.414990425109863,0.13751168898153165,0.20423201945203462,0.25191174248148707,0.4650354681384292,0.1230323788001837,0.015494803593447348,0.7821166455402627,0.8828749719802226,0.07550309895459789,1.7960161055943085,0.035324784650477184,0.2439316160477636,0.27608162355040144,0.08599764688776412,0.2332954776278181,5.010816983032423,0.20805257510729613,0.22302433741435557,0.0062204593165978705,0.1673366749646774,555.6165802402884,0.030293750000000008,4911.721351537465,0.2056680936024352,0.18226387736146277,0.21847338552832585,0.17792439815527406,0.26335896072738174,0.17002866882103462,0.48298558693546645,90301.3609537305,0.064754392920636,3.648798920339992,0.044141071435682466,0.06269095075289155,0.26067694440013867,0.13389796122620057,0.5466762762796397,9.805107535880088,0.07311185442578949,0.2715164079717299,0.6444780230522156
XRFM_GPU (default),0.016552862566105664,0.14839294003275982,791.1416167938663,0.17709485945575798,0.14547362666831687,0.38065322858354333,0.26475454852891445,0.22487618360879713,7.759664535522461,0.21504371410063605,0.22821614303382765,0.287358319480127,0.5085695384127603,0.12148582324070478,0.028705654394926894,0.7903490575935759,0.870793133687671,0.1694864431251476,1.847525282697446,0.025041498369404593,0.3116781121302207,0.2992863514719001,0.0819227271176155,0.3176653774403535,5.593811225010575,0.1869098712446352,0.262160123296749,0.008886943306666062,0.20220514028123515,545.7039138566477,0.015898437500000084,5314.316139880819,0.22706611139267274,0.1853147790910929,0.2294877806392973,0.19022648629851957,0.2727851461404094,0.2632285027623227,0.49941471484230393,91936.54932639902,0.086713847792949,3.3726946365217323,0.07429784844756115,0.06925147304866519,0.2993751959387735,0.1626773322567035,0.5642062275081888,9.640806178431584,0.09263778255107447,0.3945417729120114,0.6291362643241882
XT (default),0.013913640253670145,0.16659678628336927,768.0331611474074,0.15218157936501775,0.14751647688594594,0.3945423631780036,0.2659140634813275,0.2165007874912238,8.177011489868164,0.1696565661565923,0.22267678677251168,0.2720492670394439,0.6021126663333533,0.13437731718512758,0.023192443191826673,0.7733243231905138,0.8591238802919048,0.134644925435738,1.8778932331206013,0.0630607471512268,0.286035286253027,0.30737065120428186,0.09142716405465268,0.3037199669184887,5.224581104873697,0.2185300429184549,0.23647929164449233,0.008102898812262671,0.19331561595909297,546.401759370325,0.045786718749999955,5138.516280985989,0.2123417205694189,0.3253124297809786,0.2413624458729375,0.21298833079655,0.25381623736886905,0.2542237579333727,0.5236754929816998,95196.4187784786,0.08249472496496868,3.5401092988889045,0.1351036950314788,0.06497781334109265,0.2686904964882272,0.40266551634168307,0.5868793974915729,9.440936784163322,0.0790918777149413,0.3204008978967843,0.6221033930778503
