Dataset,tid,model,metric,metric_error,metric_error_val
Is-this-a-good-customer,363682,CAT (tuned),roc_auc,0.27385842710007735,0.22455040048360286
MIC,363711,CAT (tuned),log_loss,0.46291828991172196,0.44612704467482345
Marketing_Campaign,363684,CAT (tuned),roc_auc,0.07649866847980058,0.10539175876558027
NATICUSdroid,363689,CAT (tuned),roc_auc,0.014213585881443946,0.0137653690329399
QSAR-TID-11,363697,CAT (tuned),rmse,0.8443669388006168,0.7484956301780618
QSAR_fish_toxicity,363698,CAT (tuned),rmse,0.9170500156250383,0.8279588101932503
SDSS17,363699,CAT (tuned),log_loss,0.07290176120693734,0.07496188062034306
airfoil_self_noise,363612,CAT (tuned),rmse,1.1912702718003423,1.5062885903557126
anneal,363614,CAT (tuned),log_loss,0.03157184199590883,0.016917858250157725
bank-marketing,363618,CAT (tuned),roc_auc,0.22529462956361268,0.23867133867039136
blood-transfusion-service-center,363621,CAT (tuned),roc_auc,0.29491228070175435,0.228735504014273
churn,363623,CAT (tuned),roc_auc,0.06540406732283932,0.07417459321276976
coil2000_insurance_policies,363624,CAT (tuned),roc_auc,0.25845970636487037,0.22676619920270402
concrete_compressive_strength,363625,CAT (tuned),rmse,4.333585714498188,4.239463393839303
credit-g,363626,CAT (tuned),roc_auc,0.21619658119658125,0.17703862660944203
credit_card_clients_default,363627,CAT (tuned),roc_auc,0.2099026670604658,0.21848293463491386
customer_satisfaction_in_airline,363628,CAT (tuned),roc_auc,0.005211630460300709,0.005470210692815725
diabetes,363629,CAT (tuned),roc_auc,0.1623828647925033,0.15689968377851038
diamonds,363631,CAT (tuned),rmse,530.7338794957464,533.7030382312294
hazelnut-spread-contaminant-detection,363674,CAT (tuned),roc_auc,0.03171875000000002,0.02838750000000001
healthcare_insurance_expenses,363675,CAT (tuned),rmse,4075.95781501091,4695.454044262771
heloc,363676,CAT (tuned),roc_auc,0.20209990968839198,0.19856837291313634
hiva_agnostic,363677,CAT (tuned),log_loss,0.17539639628645917,0.17437667967317433
houses,363678,CAT (tuned),rmse,0.21336260062289186,0.21097247512735054
in_vehicle_coupon_recommendation,363681,CAT (tuned),roc_auc,0.14913477993548763,0.16449452453839097
jm1,363712,CAT (tuned),roc_auc,0.2382623418667149,0.2535614969825496
kddcup09_appetency,363683,CAT (tuned),roc_auc,0.16239589953701128,0.1512265114999779
maternal_health_risk,363685,CAT (tuned),log_loss,0.4194495649199026,0.4461857343859468
miami_housing,363686,CAT (tuned),rmse,79322.37830888318,81739.80806468929
online_shoppers_intention,363691,CAT (tuned),roc_auc,0.07438319882107158,0.06383878623955852
physiochemical_protein,363693,CAT (tuned),rmse,3.435582914781383,3.4501336105547162
polish_companies_bankruptcy,363694,CAT (tuned),roc_auc,0.029483930976970996,0.03720815861676241
qsar-biodeg,363696,CAT (tuned),roc_auc,0.07674829588487753,0.058103586236997184
seismic-bumps,363700,CAT (tuned),roc_auc,0.21492862591260764,0.22754197902286366
splice,363702,CAT (tuned),log_loss,0.09510105752224289,0.12443811979591475
students_dropout_and_academic_success,363704,CAT (tuned),log_loss,0.563591772677617,0.5270681486794917
superconductivity,363705,CAT (tuned),rmse,9.273492450271565,9.493052987144539
