,category,Amazon,Blood,Credit-G,Diabetes,QSAR-Bio,TaiwanBnk,QSAR-Fish,Airfoil,Concrete,Insurance,Houses,Wine,Anneal,Maternal
metric,,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,rmse,rmse,rmse,rmse,rmse,rmse,log_loss,log_loss
MNCA_GPU,DL,0.8403716101939878,0.745438596491228,0.7592307692307692,0.838219544846051,0.9254156598261621,0.9387920298879203,0.9079065375057965,1.453374096711406,5.113994006479045,4101.408056328212,0.2055241797052763,0.5963858366012573,0.10373663359923335,0.4198462235434901
NN_TORCH,DL,0.8344660874870385,0.7416666666666667,0.7799572649572648,0.8070281124497993,0.9181303422656616,0.9203113325031134,0.9567096116016571,1.4743240449401513,4.489181374302094,4284.493211542226,0.22989768995565277,0.6706056594848633,0.057056382624834076,0.5987640807044072
REALMLP_GPU,DL,0.8442761064417845,0.7450000000000001,0.7896153846153846,0.8500669344042837,0.9322321203159376,0.9456724782067248,0.902031865224557,1.1261888658361736,5.013467964220634,4169.775918222015,0.22671206467357857,0.6102293133735657,0.03160915622542364,0.5935180898948357
TABM_GPU,DL,0.8338184772487696,0.7017543859649122,0.7811965811965812,0.8207496653279786,0.9301042305334151,0.9411830635118307,0.9275436468576879,1.0877995905350197,4.4997519026239905,4105.547952453262,0.2124024789890273,0.6175538897514343,0.046598555490574164,0.5241959021987332
XRFM_GPU,DL,0.852536750189732,0.673859649122807,0.7677350427350428,0.817570281124498,0.9311501424604177,0.92607098381071,0.8957594416323091,1.5604451878710464,5.4829799128889,4588.086639568085,0.2315184798072428,0.5951603055000305,0.0351097915833094,0.40111243804193053
REALTABPFN-V2.5,Foundation,0.8393699822506823,0.7444298245614036,0.7849145299145298,0.8486947791164658,0.9366321635950517,0.9502770859277708,0.9021697485200404,0.9770421145051592,3.816273829391835,4075.862737431688,0.20203010927417311,0.6189418435096741,0.01724696349112164,0.418697125047572
TABDPT_GPU,Foundation,0.8434346128914413,0.7282894736842105,0.7649572649572649,0.8443105756358769,0.9305730876041405,0.937640099626401,0.9032009771392325,0.9921872891198709,4.194899538096949,4094.6992019149893,0.20713520550772116,0.581257164478302,0.0676078146117423,0.3466039316921292
TABPFNV2_GPU,Foundation,0.8415401376894398,0.7386842105263158,0.7721794871794871,0.8485943775100402,0.9270025606809248,0.9394582814445829,0.9033054900056293,0.9686146785218831,3.9696752157329884,4321.7507912330075,0.23437821466866735,0.6833905577659607,0.018732650610432378,0.4251002550137872
MITRA_GPU,,,0.7220175438596491,0.7785470085470085,0.8392235609103079,0.9279763407508927,0.9472540473225405,0.9012402148282606,1.0591131919058265,4.329742394231109,4032.357647014834,,0.5999043583869934,0.02933883162895879,0.37773906038340466
TABICLV2,,0.8503310007884486,0.7451754385964913,0.7885897435897437,0.8451807228915663,0.9355141198110145,0.946285803237858,0.894265712135384,1.015387772184129,3.6729471916148135,4042.4652260759326,0.19610344011779252,0.5875264406204224,0.033034431782149175,0.3542280741307795
TABICL_GPU,,0.8515933179907724,0.7026315789473685,0.7814102564102565,0.838219544846051,0.9387239874490569,0.9465877957658779,0.938418407690184,1.7727015604892042,5.50373270046845,4520.752203125408,0.23437821466866735,0.6089493036270142,0.042555178904666896,0.3636477547868081
FTTransformer,DL,0.8400271252132563,0.7264912280701754,0.7690598290598291,0.828380187416332,0.9031629819309699,0.9398007471980074,1.2398653728130447,6.214391184581335,12.285288531686305,5202.08276842444,0.4151074755720685,0.7577989101409912,0.04965282135798628,0.641125529410087
TFMLLM,Foundation,0.655996498722615,0.7235964912280701,0.7832905982905982,0.7998661311914325,0.9001695098640314,,1.3124215566110666,5.643586264862749,11.768094580661456,,,,0.059627503831563476,0.6567999024474278
LLMBaseline,Foundation,,0.7060526315789474,0.7216239316239317,0.6860107095046855,0.8670790204493815,,1.6545004849408724,,16.808829044894885,17800.341386653545,,,0.05973993730393637,1.3630054951387849
