dataset,metric,metric_error,metric_error_val,batch_size,lora_alpha,lora_dropout,lora_lr,lora_rank,lr,token_dim,weight_decay,num_epochs
anneal,log_loss,0.16782349164724522,0.18419009934940556,512,16,0.19273255210020587,5.8463261216434157e-05,16,0.004210536704211819,16.0,5.059803874660435e-05,
blood-transfusion-service-center,roc_auc,0.2858771929824562,0.25428189116859956,128,64,0.03179391672910394,1.6624564693643617e-05,8,0.0004309267799258763,32.0,3.888186473153664e-06,
QSAR_fish_toxicity,rmse,1.2241271578536985,1.2881795278077741,128,64,0.03179391672910394,1.6624564693643617e-05,8,0.0004309267799258763,32.0,3.888186473153664e-06,
concrete_compressive_strength,rmse,11.114771031490834,13.40068479528772,128,64,0.03179391672910394,1.6624564693643617e-05,8,0.0004309267799258763,32.0,3.888186473153664e-06,
airfoil_self_noise,rmse,5.967527605672418,6.310168795884915,128,64,0.03179391672910394,1.6624564693643617e-05,8,0.0004309267799258763,32.0,3.888186473153664e-06,
credit-g,roc_auc,0.1992307692307692,0.22282725321888408,128,64,0.03179391672910394,1.6624564693643617e-05,8,0.0004309267799258763,32.0,3.888186473153664e-06,
diabetes,roc_auc,0.16820615796519411,0.18466157572495456,128,64,0.03179391672910394,1.6624564693643617e-05,8,0.0004309267799258763,32.0,3.888186473153664e-06,
maternal_health_risk,log_loss,0.6192120347094425,0.6186520893232854,128,64,0.03179391672910394,1.6624564693643617e-05,8,0.0004309267799258763,32.0,3.888186473153664e-06,
anneal,log_loss,0.058873822025270285,0.043447432201103954,128,64,0.03179391672910394,1.6624564693643617e-05,8,0.0004309267799258763,32.0,3.888186473153664e-06,
blood-transfusion-service-center,roc_auc,0.27868421052631576,0.2340432649420161,256,32,0.10747464588980214,0.00032902678102626607,16,0.0006750312521595928,32.0,3.622405211455963e-06,
QSAR_fish_toxicity,rmse,1.3842589043356446,1.4297910506625398,256,32,0.10747464588980214,0.00032902678102626607,16,0.0006750312521595928,32.0,3.622405211455963e-06,
concrete_compressive_strength,rmse,10.775885709375013,12.28896569942917,256,32,0.10747464588980214,0.00032902678102626607,16,0.0006750312521595928,32.0,3.622405211455963e-06,
Amazon_employee_access,roc_auc,0.17276286948531894,0.23446171331515142,256,32,0.10747464588980214,0.00032902678102626607,16,0.0006750312521595928,32.0,3.622405211455963e-06,
airfoil_self_noise,rmse,4.906266216184523,5.509071272337606,256,32,0.10747464588980214,0.00032902678102626607,16,0.0006750312521595928,32.0,3.622405211455963e-06,
credit-g,roc_auc,0.20123931623931623,0.21868562231759658,256,32,0.10747464588980214,0.00032902678102626607,16,0.0006750312521595928,32.0,3.622405211455963e-06,
diabetes,roc_auc,0.17409638554216855,0.17713449505483425,256,32,0.10747464588980214,0.00032902678102626607,16,0.0006750312521595928,32.0,3.622405211455963e-06,
maternal_health_risk,log_loss,0.6755268658397953,0.6793384120435169,256,32,0.10747464588980214,0.00032902678102626607,16,0.0006750312521595928,32.0,3.622405211455963e-06,
anneal,log_loss,0.08906896275616696,0.07783066474698934,256,32,0.10747464588980214,0.00032902678102626607,16,0.0006750312521595928,32.0,3.622405211455963e-06,
blood-transfusion-service-center,roc_auc,0.281140350877193,0.24372212310437114,128,32,0.08998999798224552,0.00016831658680991382,8,0.00248463381689824,32.0,0.0008117591698634135,
QSAR_fish_toxicity,rmse,1.1544346967104393,1.2212994607430794,128,32,0.08998999798224552,0.00016831658680991382,8,0.00248463381689824,32.0,0.0008117591698634135,
concrete_compressive_strength,rmse,10.57693101876274,12.675190421591424,128,32,0.08998999798224552,0.00016831658680991382,8,0.00248463381689824,32.0,0.0008117591698634135,
airfoil_self_noise,rmse,4.8770233301566694,5.440584772136894,128,32,0.08998999798224552,0.00016831658680991382,8,0.00248463381689824,32.0,0.0008117591698634135,
credit-g,roc_auc,0.19491452991452995,0.21793454935622314,128,32,0.08998999798224552,0.00016831658680991382,8,0.00248463381689824,32.0,0.0008117591698634135,
diabetes,roc_auc,0.1819946452476573,0.18348415528493578,128,32,0.08998999798224552,0.00016831658680991382,8,0.00248463381689824,32.0,0.0008117591698634135,
maternal_health_risk,log_loss,0.5888330888732699,0.5793637619328953,128,32,0.08998999798224552,0.00016831658680991382,8,0.00248463381689824,32.0,0.0008117591698634135,
anneal,log_loss,0.04810216832784216,0.0334227669705895,128,32,0.08998999798224552,0.00016831658680991382,8,0.00248463381689824,32.0,0.0008117591698634135,
blood-transfusion-service-center,roc_auc,0.3028947368421053,0.3162689562890276,512,16,0.1136867897737297,1.090384328196852e-05,8,0.00019922770602188457,16.0,7.092543214735827e-05,
QSAR_fish_toxicity,rmse,1.4779079850359818,1.4276544530588724,512,16,0.1136867897737297,1.090384328196852e-05,8,0.00019922770602188457,16.0,7.092543214735827e-05,
concrete_compressive_strength,rmse,16.008542470664327,16.120552294768416,512,16,0.1136867897737297,1.090384328196852e-05,8,0.00019922770602188457,16.0,7.092543214735827e-05,
Amazon_employee_access,roc_auc,0.21703291803456137,0.28681603758637664,512,16,0.1136867897737297,1.090384328196852e-05,8,0.00019922770602188457,16.0,7.092543214735827e-05,
