method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
TABM_GPU (tuned),1377.7,172.3,133.3,30.3125,0.63359374,0.10104297509054627,0.034695533948973206,0.03778796641427806,0.04585822510822511,0.0,0.0,0.0,8.0,5053.830103933811,0.08599203824996948,6352.437404187182,0.23835645479564924,0.6961066141258391,0.6961066141258391,0.0,28.0,0.10448633144441022,0.04605754570123437,0.600219661670975,3354.6058505773544,0.06895184516906738,4322.161326281856,0.2559177734989271,0.6720428022875816,0.6720428022875816,0.0,hpo,tuned,TABM_GPU,TabM_GPU,tabarena-2025-06-12
EBM (tuned + ensemble),1357.3,211.8,161.4,32.0,0.6125,0.1416249731453072,0.11898721443602567,0.08190782937537519,0.09300782271107019,0.0,1.0,0.0,7.0,3922.9833153784275,0.16909658908843994,5399.172056896945,0.5043991661793764,0.7215988881579029,0.7215988881579029,0.0,32.0,0.11347252150175058,0.058375277344859824,0.6113827843692541,2189.601558804512,0.17263388633728027,3743.9706723273466,0.46883766714975983,0.8433666490619853,0.8433666490619853,0.0,hpo,tuned_ensemble,EBM,ExplainableBM,tabarena-2025-09-03
GBM (tuned + ensemble),1351.3,107.3,66.5,32.5,0.60625,0.12400706858834555,0.07258081426222864,0.05882977413947783,0.03351513115889693,0.0,0.0,0.0,8.0,1049.12318405509,2.089066803455353,1489.7271090749855,4.9660662653347005,0.8100658845862964,0.8100658845862964,0.0,34.0,0.11506025293363625,0.06665379194614386,0.5965854771448009,937.7223933935165,0.9242416620254517,1475.8604202880592,2.7660759696305193,0.8431527175407751,0.8431527175407751,0.0,hpo,tuned_ensemble,GBM,LightGBM,tabarena-2025-06-12
CAT (default),1351.3,149.6,119.4,32.5,0.60625,0.13676118327925652,0.09236052333277497,0.07504969271308129,0.057450960292403916,0.0,0.0,0.0,8.0,18.000705868005753,0.08667153120040894,23.020958548830322,0.2019183498328044,0.788510298999318,0.788510298999318,0.0,34.5,0.12407697653961486,0.08796634733198104,0.6030620603355865,7.835206031799316,0.03469729423522949,12.69470845388229,0.10058851967183359,0.8361969382318892,0.8361969382318892,0.0,config,default,CAT,CatBoost,tabarena-2025-06-12
EBM (tuned),1351.3,228.8,185.0,32.5,0.60625,0.14204352238859733,0.12220588846578043,0.08544952128842938,0.16909841631356012,1.0,0.0,0.0,7.0,3922.9833153784275,0.022471189498901367,5399.172056896945,0.06562132403802227,0.7143430312709963,0.7143430312709963,0.0,37.0,0.11350739788474323,0.06174661221967742,0.6065806607918196,2189.601558804512,0.016631245613098145,3743.9706723273466,0.06057622632516432,0.9574438471040602,0.9574438471040602,0.0,hpo,tuned,EBM,ExplainableBM,tabarena-2025-09-03
LLMAdapter260423-bidir (tuned + ensemble),1350.6,181.2,159.4,32.5625,0.60546875,0.1359076119153555,0.07629542676718104,0.06852705098879237,0.04580180101174268,0.0,0.0,0.0,8.0,7674.237466216087,109.01258343458176,11081.027764564069,346.0893910388363,0.7226417080924895,0.7226417080924895,0.125,28.0,0.09295275970593375,0.07649971936493746,0.6192105279941974,7828.055900335312,119.89444184303284,12361.289277771531,317.36245247492485,0.7642861492423066,0.7642861492423066,0.0,hpo,tuned_ensemble,LLMAdapter260423-bidir,LLMAdapter260423-bidir,260423-bidir
NN_TORCH (tuned + ensemble),1338.0,118.8,99.7,33.625,0.5921875,0.11657794346388695,0.05483260885878152,0.05750395302662813,0.03735243130210816,0.0,0.0,0.0,8.0,5525.471385836601,0.8691608607769012,7127.693406124973,2.5992304785251203,0.7539230614166335,0.7539230614166335,0.0,35.0,0.08202210543813532,0.06612536888154263,0.5902905455599158,4177.980161309242,0.6890631914138794,5609.399443801145,2.139553741008153,0.8068926588849907,0.8068926588849907,0.0,hpo,tuned_ensemble,NN_TORCH,NeuralNetTorch,tabarena-2025-06-12
LLMAdapter260423-bidir (tuned),1335.7,193.5,167.4,33.8125,0.58984375,0.13393933695468352,0.06698083246397385,0.06624605910990358,0.04388385448596245,0.0,0.0,0.0,8.0,7674.237466216087,17.938178777694702,11081.027764564069,56.33667489846165,0.7398777883808959,0.7398777883808959,0.125,30.0,0.0997316257622361,0.09763763934689115,0.6245746756930858,7828.055900335312,18.51626217365265,12361.289277771531,50.322852332460386,0.8056081200927505,0.8056081200927505,0.0,hpo,tuned,LLMAdapter260423-bidir,LLMAdapter260423-bidir,260423-bidir
LLMAdapter260421-3 (tuned),1335.7,238.2,172.4,33.8125,0.58984375,0.13444811761966968,0.07410629194649224,0.07135012666391975,0.07778512636461804,0.0,0.0,1.0,7.0,5834.817645937204,10.241065204143524,8789.226936168838,31.173257328066395,0.6953838386703406,0.6953838386703406,0.125,31.5,0.1167423627321626,0.08104827763075002,0.6233020496711413,5969.330798745155,10.711109399795532,10518.55134960909,33.321745434604296,0.8045774647887314,0.8045774647887314,0.0,hpo,tuned,LLMAdapter260421-3,LLMAdapter260421-3,260421-3
LLMAdapter260421-3 (tuned + ensemble),1332.8,194.3,168.8,34.0625,0.58671874,0.13597286771007713,0.06999845166397992,0.06819768047569146,0.05050821542988886,0.0,0.0,0.0,8.0,5834.817645937204,60.94000405073166,8789.226936168838,191.4587784121307,0.750961240025819,0.750961240025819,0.125,38.5,0.11204449302031683,0.09214357319473179,0.6171566789803609,5969.330798745155,70.00493490695953,10518.55134960909,243.6907769451148,0.9368043298152069,0.9368043298152069,0.0,hpo,tuned_ensemble,LLMAdapter260421-3,LLMAdapter260421-3,260421-3
