dataset,tid,metric,metric_error,metric_error_val,batch_size,lora_lr,lora_rank,lr,token_dim,num_epochs,lora_alpha,lora_dropout,weight_decay
qsar-biodeg,363696,roc_auc,0.1019583799184911,0.09635738706626895,512,0.00027622648017994964,8,0.00019351140885595286,64.0,,,,
anneal,363614,log_loss,0.18179881148012733,0.1710859231993169,512,0.00027622648017994964,8,0.00019351140885595286,64.0,,,,
blood-transfusion-service-center,363621,roc_auc,0.264561403508772,0.25187332738626234,256,0.00017665559365643207,16,0.0007501954443620128,32.0,,,,
QSAR_fish_toxicity,363698,rmse,1.4327194277955644,1.4415614503498229,256,0.00017665559365643207,16,0.0007501954443620128,32.0,,,,
website_phishing,363707,log_loss,0.2718702640739249,0.3050887777715419,256,0.00017665559365643207,16,0.0007501954443620128,32.0,,,,
concrete_compressive_strength,363625,rmse,14.127233367743317,15.734250156172276,256,0.00017665559365643207,16,0.0007501954443620128,32.0,,,,
credit-g,363626,roc_auc,0.2084615384615386,0.20670600858369104,256,0.00017665559365643207,16,0.0007501954443620128,32.0,,,,
Fitness_Club,363671,roc_auc,0.1977087114337568,0.17329788041518812,256,0.00017665559365643207,16,0.0007501954443620128,32.0,,,,
diabetes,363629,roc_auc,0.201004016064257,0.18819383704501114,256,0.00017665559365643207,16,0.0007501954443620128,32.0,,,,
healthcare_insurance_expenses,363675,rmse,5812.7463704474085,7032.9277494628495,256,0.00017665559365643207,16,0.0007501954443620128,32.0,,,,
maternal_health_risk,363685,log_loss,0.7081424747179778,0.7005168602059932,256,0.00017665559365643207,16,0.0007501954443620128,32.0,,,,
qsar-biodeg,363696,roc_auc,0.09925343527969122,0.1056957881719649,256,0.00017665559365643207,16,0.0007501954443620128,32.0,,,,
anneal,363614,log_loss,0.24040537845818397,0.22501953343516612,256,0.00017665559365643207,16,0.0007501954443620128,32.0,,,,
blood-transfusion-service-center,363621,roc_auc,0.26473684210526316,0.2523974130240856,128,0.00011058510725696446,4,0.0008855250245941234,32.0,,,,
QSAR_fish_toxicity,363698,rmse,1.3823543169469434,1.429128811586793,128,0.00011058510725696446,4,0.0008855250245941234,32.0,,,,
website_phishing,363707,log_loss,0.27600665560656806,0.28884471750447094,128,0.00011058510725696446,4,0.0008855250245941234,32.0,,,,
concrete_compressive_strength,363625,rmse,11.734070957332873,13.138415805952945,128,0.00011058510725696446,4,0.0008855250245941234,32.0,,,,
credit-g,363626,roc_auc,0.2088034188034188,0.2233476394849785,128,0.00011058510725696446,4,0.0008855250245941234,32.0,,,,
Fitness_Club,363671,roc_auc,0.1996559286146402,0.17149993358507742,128,0.00011058510725696446,4,0.0008855250245941234,32.0,,,,
diabetes,363629,roc_auc,0.17771084337349397,0.18414014667294631,128,0.00011058510725696446,4,0.0008855250245941234,32.0,,,,
healthcare_insurance_expenses,363675,rmse,6400.325469974974,8257.438363035719,128,0.00011058510725696446,4,0.0008855250245941234,32.0,,,,
maternal_health_risk,363685,log_loss,0.6741658392835548,0.6538921898288461,128,0.00011058510725696446,4,0.0008855250245941234,32.0,,,,
qsar-biodeg,363696,roc_auc,0.09485339200057719,0.09492980286607988,128,0.00011058510725696446,4,0.0008855250245941234,32.0,,,,
anneal,363614,log_loss,0.20554897089831906,0.1911168293636157,128,0.00011058510725696446,4,0.0008855250245941234,32.0,,,,
blood-transfusion-service-center,363621,roc_auc,0.2690350877192983,0.2390945584299733,256,0.0001978535031094701,4,0.0046263628414755864,32.0,,,,
QSAR_fish_toxicity,363698,rmse,1.3931230120850995,1.4163960874135377,256,0.0001978535031094701,4,0.0046263628414755864,32.0,,,,
website_phishing,363707,log_loss,0.2701584621460556,0.301590879398892,256,0.0001978535031094701,4,0.0046263628414755864,32.0,,,,
concrete_compressive_strength,363625,rmse,14.28673540420813,15.488070138120401,256,0.0001978535031094701,4,0.0046263628414755864,32.0,,,,
credit-g,363626,roc_auc,0.21923076923076912,0.20523068669527889,256,0.0001978535031094701,4,0.0046263628414755864,32.0,,,,
Fitness_Club,363671,roc_auc,0.19980716878402904,0.17454316021176874,256,0.0001978535031094701,4,0.0046263628414755864,32.0,,,,
diabetes,363629,roc_auc,0.1840696117804551,0.1815666419969051,256,0.0001978535031094701,4,0.0046263628414755864,32.0,,,,
healthcare_insurance_expenses,363675,rmse,6387.411321183184,8315.364054480215,256,0.0001978535031094701,4,0.0046263628414755864,32.0,,,,
maternal_health_risk,363685,log_loss,0.7078030282538196,0.715612277590584,256,0.0001978535031094701,4,0.0046263628414755864,32.0,,,,
qsar-biodeg,363696,roc_auc,0.10855844483716237,0.10126300283698264,256,0.0001978535031094701,4,0.0046263628414755864,32.0,,,,
anneal,363614,log_loss,0.2317445132298468,0.22402209051753944,256,0.0001978535031094701,4,0.0046263628414755864,32.0,,,,
blood-transfusion-service-center,363621,roc_auc,0.2751754385964912,0.2517395182872435,256,0.0001,8,0.001,,200.0,32.0,0.1,1e-05
QSAR_fish_toxicity,363698,rmse,1.3936277509997737,1.4162596899227513,256,0.0001,8,0.001,,200.0,32.0,0.1,1e-05
website_phishing,363707,log_loss,0.2779101209730456,0.29851171522933845,256,0.0001,8,0.001,,200.0,32.0,0.1,1e-05
concrete_compressive_strength,363625,rmse,14.720635993964661,15.402248258735899,256,0.0001,8,0.001,,200.0,32.0,0.1,1e-05
credit-g,363626,roc_auc,0.2061111111111108,0.22006974248927036,256,0.0001,8,0.001,,200.0,32.0,0.1,1e-05
Fitness_Club,363671,roc_auc,0.19404113732607375,0.17216882673295508,256,0.0001,8,0.001,,200.0,32.0,0.1,1e-05
diabetes,363629,roc_auc,0.1700803212851404,0.16853091569669654,256,0.0001,8,0.001,,200.0,32.0,0.1,1e-05
healthcare_insurance_expenses,363675,rmse,6313.34522518212,8312.093399594782,256,0.0001,8,0.001,,200.0,32.0,0.1,1e-05
maternal_health_risk,363685,log_loss,0.7193847194336024,0.7055901323172168,256,0.0001,8,0.001,,200.0,32.0,0.1,1e-05
qsar-biodeg,363696,roc_auc,0.10780106033829828,0.1218947770422637,256,0.0001,8,0.001,,200.0,32.0,0.1,1e-05
anneal,363614,log_loss,0.2346300915880928,0.21408175755164746,256,0.0001,8,0.001,,200.0,32.0,0.1,1e-05
blood-transfusion-service-center,363621,roc_auc,0.263421052631579,0.3278657448706511,256,1.9922770602188434e-05,4,0.0017134364197119662,64.0,,,,
QSAR_fish_toxicity,363698,rmse,1.460408657065618,1.4259944443890011,256,1.9922770602188434e-05,4,0.0017134364197119662,64.0,,,,
website_phishing,363707,log_loss,0.31265587259843897,0.33569016524946577,256,1.9922770602188434e-05,4,0.0017134364197119662,64.0,,,,
concrete_compressive_strength,363625,rmse,15.689919497092136,16.042536241306166,256,1.9922770602188434e-05,4,0.0017134364197119662,64.0,,,,
credit-g,363626,roc_auc,0.2105555555555555,0.2053809012875537,256,1.9922770602188434e-05,4,0.0017134364197119662,64.0,,,,
diabetes,363629,roc_auc,0.17570281124497988,0.1923148085850771,256,1.9922770602188434e-05,4,0.0017134364197119662,64.0,,,,
healthcare_insurance_expenses,363675,rmse,8579.75940794584,10523.472824943618,256,1.9922770602188434e-05,4,0.0017134364197119662,64.0,,,,
maternal_health_risk,363685,log_loss,0.7054865300989844,0.6981503105214846,256,1.9922770602188434e-05,4,0.0017134364197119662,64.0,,,,
qsar-biodeg,363696,roc_auc,0.10697154398239994,0.10545937295409913,256,1.9922770602188434e-05,4,0.0017134364197119662,64.0,,,,
anneal,363614,log_loss,0.3356862727648209,0.3471046228956945,256,1.9922770602188434e-05,4,0.0017134364197119662,64.0,,,,
blood-transfusion-service-center,363621,roc_auc,0.26885964912280713,0.2668487957181088,128,0.0008459126528049375,16,0.0009022569470269152,64.0,,,,
QSAR_fish_toxicity,363698,rmse,1.5811072426266293,1.5678901555128761,128,0.0008459126528049375,16,0.0009022569470269152,64.0,,,,
website_phishing,363707,log_loss,0.29501399888367463,0.30827051363368496,128,0.0008459126528049375,16,0.0009022569470269152,64.0,,,,
concrete_compressive_strength,363625,rmse,19.816310800519528,20.46207713527779,128,0.0008459126528049375,16,0.0009022569470269152,64.0,,,,
credit-g,363626,roc_auc,0.20700854700854698,0.24384656652360526,128,0.0008459126528049375,16,0.0009022569470269152,64.0,,,,
Fitness_Club,363671,roc_auc,0.19513762855414396,0.1858242091880301,128,0.0008459126528049375,16,0.0009022569470269152,64.0,,,,
diabetes,363629,roc_auc,0.19464524765729585,0.2375866245038014,128,0.0008459126528049375,16,0.0009022569470269152,64.0,,,,
healthcare_insurance_expenses,363675,rmse,12843.059547555928,17116.02836049323,128,0.0008459126528049375,16,0.0009022569470269152,64.0,,,,
maternal_health_risk,363685,log_loss,0.842233111910377,0.853333191549599,128,0.0008459126528049375,16,0.0009022569470269152,64.0,,,,
qsar-biodeg,363696,roc_auc,0.11919789374977463,0.1282052447806794,128,0.0008459126528049375,16,0.0009022569470269152,64.0,,,,
anneal,363614,log_loss,0.35246884724614175,0.40461124071156773,128,0.0008459126528049375,16,0.0009022569470269152,64.0,,,,
blood-transfusion-service-center,363621,roc_auc,0.2618421052631579,0.23996431757359504,128,0.00015335192657991572,4,0.0016051911333587634,64.0,,,,
QSAR_fish_toxicity,363698,rmse,1.2314440332975538,1.2907392763138434,128,0.00015335192657991572,4,0.0016051911333587634,64.0,,,,
website_phishing,363707,log_loss,0.26774049806374023,0.2864680706347615,128,0.00015335192657991572,4,0.0016051911333587634,64.0,,,,
concrete_compressive_strength,363625,rmse,13.09855196791067,14.938005491272408,128,0.00015335192657991572,4,0.0016051911333587634,64.0,,,,
credit-g,363626,roc_auc,0.20034188034188016,0.22890557939914158,128,0.00015335192657991572,4,0.0016051911333587634,64.0,,,,
Fitness_Club,363671,roc_auc,0.19920220810647304,0.1769649329209283,128,0.00015335192657991572,4,0.0016051911333587634,64.0,,,,
diabetes,363629,roc_auc,0.16251673360107088,0.1570258359685125,128,0.00015335192657991572,4,0.0016051911333587634,64.0,,,,
healthcare_insurance_expenses,363675,rmse,6062.735555287424,7077.608815537161,128,0.00015335192657991572,4,0.0016051911333587634,64.0,,,,
maternal_health_risk,363685,log_loss,0.6592568457740858,0.6535366093653678,128,0.00015335192657991572,4,0.0016051911333587634,64.0,,,,
qsar-biodeg,363696,roc_auc,0.0868467558697299,0.08368644067796605,128,0.00015335192657991572,4,0.0016051911333587634,64.0,,,,
anneal,363614,log_loss,0.22669434021528795,0.22849267833011724,128,0.00015335192657991572,4,0.0016051911333587634,64.0,,,,
blood-transfusion-service-center,363621,roc_auc,0.2662280701754385,0.2816347011596787,128,0.000906226347126195,4,0.00399780405315362,64.0,,,,
QSAR_fish_toxicity,363698,rmse,1.6213981879977046,1.6149524551622005,128,0.000906226347126195,4,0.00399780405315362,64.0,,,,
website_phishing,363707,log_loss,0.3322887454110143,0.33618908046673257,128,0.000906226347126195,4,0.00399780405315362,64.0,,,,
concrete_compressive_strength,363625,rmse,17.956588774084423,18.06445545813592,128,0.000906226347126195,4,0.00399780405315362,64.0,,,,
credit-g,363626,roc_auc,0.2136752136752137,0.24160407725321886,128,0.000906226347126195,4,0.00399780405315362,64.0,,,,
Fitness_Club,363671,roc_auc,0.19642316999395038,0.1986873564963283,128,0.000906226347126195,4,0.00399780405315362,64.0,,,,
diabetes,363629,roc_auc,0.1763721552878179,0.2662988629482609,128,0.000906226347126195,4,0.00399780405315362,64.0,,,,
healthcare_insurance_expenses,363675,rmse,8694.776911288705,10838.117867663554,128,0.000906226347126195,4,0.00399780405315362,64.0,,,,
maternal_health_risk,363685,log_loss,0.7704313920083323,0.7865408114574622,128,0.000906226347126195,4,0.00399780405315362,64.0,,,,
qsar-biodeg,363696,roc_auc,0.1074043351246079,0.14858696442860253,128,0.000906226347126195,4,0.00399780405315362,64.0,,,,
anneal,363614,log_loss,0.4002144486801407,0.48043915320169595,128,0.000906226347126195,4,0.00399780405315362,64.0,,,,
blood-transfusion-service-center,363621,roc_auc,0.25245614035087716,0.23967439785905442,512,0.00013680095279726916,8,0.004700645792732056,32.0,,,,
QSAR_fish_toxicity,363698,rmse,1.2200842371228418,1.3247893177351422,512,0.00013680095279726916,8,0.004700645792732056,32.0,,,,
website_phishing,363707,log_loss,0.2888714219448046,0.30992139633153243,512,0.00013680095279726916,8,0.004700645792732056,32.0,,,,
concrete_compressive_strength,363625,rmse,15.306652622205622,15.739737862217638,512,0.00013680095279726916,8,0.004700645792732056,32.0,,,,
credit-g,363626,roc_auc,0.20277777777777772,0.20813841201716743,512,0.00013680095279726916,8,0.004700645792732056,32.0,,,,
Fitness_Club,363671,roc_auc,0.1961963097398669,0.17094252262851284,512,0.00013680095279726916,8,0.004700645792732056,32.0,,,,
diabetes,363629,roc_auc,0.1727576974564926,0.170683913072731,512,0.00013680095279726916,8,0.004700645792732056,32.0,,,,
healthcare_insurance_expenses,363675,rmse,8982.211342889546,11086.622976273935,512,0.00013680095279726916,8,0.004700645792732056,32.0,,,,
maternal_health_risk,363685,log_loss,0.7259831259779562,0.7394144850768725,512,0.00013680095279726916,8,0.004700645792732056,32.0,,,,
qsar-biodeg,363696,roc_auc,0.08879431600966581,0.09603913581144974,512,0.00013680095279726916,8,0.004700645792732056,32.0,,,,
anneal,363614,log_loss,0.17187371694973277,0.17238888292439294,512,0.00013680095279726916,8,0.004700645792732056,32.0,,,,
